Police District,high_incident_rate
Bayview,0.45007407407407407
Central,0.44610852970461334
Ingleside,0.47287005061734233
Mission,0.4336744398371819
Northern,0.4396986938055934
Out of SF,0.5236344537815126
Park,0.528727556596409
Richmond,0.5007641703767692
Southern,0.4381600835622268
Taraval,0.45979899497487436
Tenderloin,0.4389968550923313
